Submission_Type,Academic_Level,Primary_Language,Word_Count,Average_Sentence_Length,Grammar_Errors,Vocabulary_Richness,Passive_Voice_Ratio,Reading_Level,Editing_Time,Revision_Count,Typing_Speed,Plagiarism_Score,Citation_Count,Punctuation_Density,Sentence_Complexity,Font_Family,Submission_Hour,Errors_per_Word,Revisions_per_Word,Citations_per_Word,Is_AI_Assisted
Essay,Postgraduate,Native,1067,22.38,12,0.53,0.16,10.27,250.42,,45.84,3.13,1.0,0.03,1.82,Times New Roman,23,0.011246485473289597,,0.0009372071227741331,0
Essay,Undergraduate,Native,1760,17.0,10,0.63,0.17,12.33,129.32,26.0,34.11,30.03,2.0,0.05,1.23,Times New Roman,17,0.005681818181818182,0.014772727272727272,0.0011363636363636363,0
Research_Paper,Postgraduate,Native,638,14.59,10,0.61,0.26,12.09,133.29,29.0,54.25,9.33,19.0,0.06,1.0,Helvetica,5,0.01567398119122257,0.045454545454545456,0.029780564263322883,0
Research_Paper,Undergraduate,Non_Native,1703,22.41,2,0.77,0.32,14.01,16.77,,1200.0,4.88,5.0,0.07,2.77,Arial,4,0.0011743981209630064,,0.002935995302407516,1
Research_Paper,Postgraduate,Non_Native,602,16.27,3,0.56,0.19,11.07,1.41,26.0,12.7,6.13,,0.04,1.69,Times New Roman,23,0.0049833887043189366,0.04318936877076412,,0
Research_Paper,Undergraduate,Non_Native,922,12.32,6,0.37,0.0,10.97,,21.0,48.11,8.58,17.0,0.06,2.69,Helvetica,5,0.006507592190889371,0.0227765726681128,0.01843817787418655,0
Research_Paper,Undergraduate,Native,1317,22.05,1,0.78,0.33,14.61,1.2,2.0,1200.0,7.32,5.0,0.06,2.18,Helvetica,3,0.0007593014426727411,0.0015186028853454822,0.0037965072133637054,1
Research_Paper,Undergraduate,Native,920,18.87,7,0.67,0.25,14.73,102.85,35.0,49.84,2.14,,0.07,2.41,Arial,2,0.007608695652173913,0.03804347826086957,,0
Essay,Undergraduate,Non_Native,1084,16.09,2,0.62,0.26,13.52,137.19,32.0,53.99,0.13,3.0,0.04,1.53,Helvetica,19,0.0018450184501845018,0.02952029520295203,0.0027675276752767526,0
Literature_Review,Undergraduate,Native,695,21.17,2,0.71,0.35,14.02,18.72,2.0,0.0,2.53,14.0,0.08,3.02,Arial,11,0.0028776978417266188,0.0028776978417266188,0.02014388489208633,1
Essay,Undergraduate,Native,521,18.12,5,0.59,0.26,9.24,96.26,24.0,78.32,5.66,4.0,0.05,1.27,Calibri,8,0.009596928982725527,0.046065259117082535,0.007677543186180422,0
Essay,Undergraduate,Native,1274,23.34,6,0.53,0.06,10.79,209.33,26.0,70.82,4.12,5.0,0.07,2.5,Calibri,5,0.004709576138147566,0.02040816326530612,0.003924646781789639,0
Lab_Report,Postgraduate,Native,1512,17.6,9,0.48,0.15,14.87,,21.0,45.17,4.17,0.0,0.04,1.77,Calibri,7,0.005952380952380952,0.013888888888888888,0.0,0
Literature_Review,Undergraduate,Native,1498,26.77,10,0.43,0.21,10.66,143.89,29.0,,3.53,31.0,0.04,2.6,Arial,17,0.006675567423230975,0.019359145527369826,0.02069425901201602,0
Essay,Undergraduate,Native,1007,22.86,2,0.72,0.37,12.92,20.43,2.0,1200.0,4.68,3.0,0.09,2.33,Arial,22,0.0019860973187686196,0.0019860973187686196,0.0029791459781529296,1
Essay,High_School,Native,1304,19.15,4,0.61,0.18,7.64,195.05,25.0,68.65,1.12,,0.05,1.71,Arial,23,0.003067484662576687,0.019171779141104295,,0
Essay,Postgraduate,Non_Native,1248,17.34,11,0.61,0.23,10.48,261.66,29.0,39.56,0.65,4.0,0.02,2.77,Times New Roman,15,0.008814102564102564,0.023237179487179488,0.003205128205128205,0
Essay,Undergraduate,Native,1404,21.29,1,0.73,0.39,12.75,13.12,2.0,1200.0,0.76,2.0,0.06,2.01,Helvetica,9,0.0007122507122507123,0.0014245014245014246,0.0014245014245014246,1
Lab_Report,Undergraduate,Non_Native,620,14.25,9,0.6,0.06,9.02,106.2,16.0,72.47,9.11,6.0,0.06,2.15,Helvetica,20,0.014516129032258065,0.025806451612903226,0.00967741935483871,0
Lab_Report,High_School,Non_Native,916,11.27,3,0.71,0.16,13.2,190.2,23.0,67.01,0.18,4.0,0.04,1.69,Calibri,5,0.0032751091703056767,0.025109170305676855,0.004366812227074236,0
Essay,Undergraduate,Native,1206,21.92,11,0.46,0.1,15.03,168.93,27.0,48.57,1.36,4.0,0.02,1.08,Helvetica,21,0.00912106135986733,0.022388059701492536,0.003316749585406302,0
Literature_Review,Undergraduate,Native,1470,24.5,13,0.64,0.15,10.57,150.88,30.0,15.99,3.15,28.0,0.05,1.0,Arial,22,0.008843537414965987,0.02040816326530612,0.01904761904761905,0
Lab_Report,High_School,Native,1204,15.81,8,0.6,0.21,11.77,186.07,,59.29,5.91,4.0,0.05,2.48,Calibri,18,0.006644518272425249,,0.0033222591362126247,0
Research_Paper,Postgraduate,Native,1742,21.05,3,0.85,0.31,13.32,4.51,3.0,1200.0,0.75,7.0,0.07,2.64,Calibri,7,0.001722158438576349,0.001722158438576349,0.004018369690011481,1
Essay,Undergraduate,Native,952,18.7,3,0.76,0.33,10.57,,,,,0.0,0.08,1.46,Calibri,5,0.0031512605042016808,,0.0,0
Research_Paper,Postgraduate,Native,1459,15.19,5,0.6,0.16,11.6,128.72,20.0,58.88,6.99,20.0,0.07,1.62,Arial,11,0.003427004797806717,0.013708019191226868,0.013708019191226868,0
Essay,Undergraduate,Native,1835,21.63,13,0.58,0.08,12.48,183.29,29.0,,0.71,3.0,0.02,1.0,Arial,13,0.007084468664850136,0.01580381471389646,0.0016348773841961854,0
Research_Paper,Undergraduate,Non_Native,770,17.34,6,0.68,0.11,11.42,,31.0,37.24,6.49,16.0,0.07,1.89,Calibri,15,0.007792207792207792,0.04025974025974026,0.02077922077922078,0
Essay,High_School,Non_Native,830,15.55,13,0.62,0.23,6.7,138.47,,54.06,1.13,3.0,0.05,2.15,Helvetica,20,0.01566265060240964,,0.0036144578313253013,0
Literature_Review,Undergraduate,Native,577,20.07,11,0.47,0.11,12.03,216.35,22.0,35.41,0.38,30.0,0.04,1.38,Times New Roman,20,0.019064124783362217,0.038128249566724434,0.05199306759098787,0
Literature_Review,Undergraduate,Non_Native,962,21.24,8,0.7,0.07,10.57,187.43,25.0,25.9,8.75,29.0,0.06,2.44,Calibri,5,0.008316008316008316,0.02598752598752599,0.030145530145530147,0
Research_Paper,Postgraduate,Non_Native,2094,16.78,11,0.66,0.11,14.02,218.61,29.0,63.63,10.11,20.0,0.04,2.17,Arial,21,0.0052531041069723014,0.013849092645654251,0.009551098376313277,0
Research_Paper,Undergraduate,Native,1146,22.82,0,0.78,0.36,15.42,5.2,2.0,1200.0,2.96,,0.08,2.32,Helvetica,20,0.0,0.0017452006980802793,,1
Essay,Undergraduate,Native,1127,10.15,7,0.61,0.19,12.29,99.35,21.0,48.24,13.75,4.0,0.06,2.38,Calibri,2,0.006211180124223602,0.018633540372670808,0.00354924578527063,0
Research_Paper,High_School,Native,1262,20.31,9,0.62,0.24,7.43,185.57,25.0,33.89,9.15,18.0,0.04,3.02,Arial,5,0.0071315372424722665,0.019809825673534072,0.014263074484944533,0
Essay,Undergraduate,Native,1622,10.25,5,0.55,0.23,7.85,305.21,36.0,42.01,7.05,,0.04,1.36,Times New Roman,5,0.0030826140567200987,0.02219482120838471,,0
Literature_Review,Undergraduate,Native,1343,21.9,1,0.77,0.4,13.88,8.86,3.0,1200.0,2.22,11.0,0.09,2.53,Helvetica,13,0.0007446016381236039,0.0022338049143708115,0.008190618019359643,1
Research_Paper,Undergraduate,Native,1430,12.94,8,0.52,0.3,10.06,221.06,15.0,49.72,1.05,19.0,0.06,2.09,Helvetica,3,0.005594405594405594,0.01048951048951049,0.013286713286713287,0
Literature_Review,Undergraduate,Non_Native,1308,21.26,0,0.73,0.35,12.53,5.06,2.0,1200.0,1.65,13.0,0.09,2.56,Calibri,10,0.0,0.0015290519877675841,0.009938837920489297,1
Research_Paper,Undergraduate,Native,1899,12.37,12,0.72,0.23,13.2,284.44,33.0,61.47,1.4,14.0,0.07,1.92,Helvetica,20,0.00631911532385466,0.017377567140600316,0.00737230121116377,0
Essay,Undergraduate,Native,670,18.05,9,0.54,0.1,9.73,156.98,23.0,40.45,1.98,1.0,0.04,1.89,Arial,10,0.013432835820895522,0.034328358208955224,0.0014925373134328358,0
Research_Paper,Undergraduate,Native,1268,18.42,8,0.61,0.38,12.41,291.85,,42.79,18.39,18.0,0.03,1.42,Times New Roman,8,0.006309148264984227,,0.014195583596214511,0
Research_Paper,Undergraduate,Native,1161,16.91,6,0.69,0.4,10.19,70.33,,60.56,6.72,20.0,0.08,3.02,Arial,1,0.00516795865633075,,0.017226528854435832,0
Essay,Undergraduate,Native,656,20.09,10,0.43,0.21,11.68,208.6,22.0,22.21,4.91,,0.03,1.84,Calibri,1,0.01524390243902439,0.03353658536585366,,0
Research_Paper,Undergraduate,Non_Native,2094,14.86,10,0.54,0.38,10.88,209.54,25.0,33.69,4.5,12.0,0.04,1.81,Arial,0,0.004775549188156638,0.011938872970391595,0.0057306590257879654,0
Essay,Postgraduate,Non_Native,1466,20.52,8,0.51,0.17,11.07,205.23,21.0,30.2,,6.0,0.05,2.53,Helvetica,4,0.005457025920873124,0.01432469304229195,0.004092769440654843,0
Research_Paper,Undergraduate,Native,1606,21.34,10,0.49,0.2,11.74,60.38,,21.63,0.04,19.0,0.05,2.16,Times New Roman,16,0.0062266500622665,,0.011830635118306352,0
Essay,Undergraduate,Native,1561,22.53,4,0.62,0.25,13.12,110.64,31.0,49.32,2.89,3.0,0.05,1.61,Helvetica,11,0.0025624599615631004,0.01985906470211403,0.0019218449711723255,0
Research_Paper,Postgraduate,Native,1303,9.19,8,0.44,0.22,10.47,90.64,25.0,35.28,7.94,13.0,0.08,2.02,Calibri,15,0.0061396776669224865,0.01918649270913277,0.009976976208749041,0
Essay,Undergraduate,Native,1389,18.73,6,0.67,0.15,15.9,125.91,25.0,31.91,22.12,4.0,0.05,1.33,Calibri,11,0.004319654427645789,0.017998560115190784,0.0028797696184305254,0
Research_Paper,Postgraduate,Native,857,15.16,6,0.63,0.26,9.37,149.09,24.0,,11.45,18.0,0.05,1.79,Calibri,20,0.007001166861143524,0.028004667444574097,0.021003500583430573,0
Literature_Review,Undergraduate,Non_Native,1285,9.67,7,0.63,0.29,7.75,185.91,22.0,42.22,4.65,29.0,0.07,1.82,Calibri,18,0.005447470817120622,0.017120622568093387,0.022568093385214007,0
Literature_Review,High_School,Native,1459,13.63,15,0.44,0.31,12.45,138.86,,86.2,0.58,30.0,0.07,2.15,Helvetica,18,0.01028101439342015,,0.0205620287868403,0
Literature_Review,High_School,Native,456,21.57,9,0.6,0.23,15.2,195.84,,,4.66,30.0,0.08,1.47,Calibri,5,0.019736842105263157,,0.06578947368421052,0
Research_Paper,Postgraduate,Non_Native,1246,11.29,11,0.49,0.1,8.64,128.21,19.0,26.22,0.52,19.0,0.05,2.47,Calibri,3,0.00882825040128411,0.015248796147672551,0.015248796147672551,0
Essay,Postgraduate,Non_Native,1113,20.13,8,0.59,0.13,10.29,187.08,24.0,59.2,8.7,,0.05,1.7,Times New Roman,5,0.0071877807726864335,0.0215633423180593,,0
Literature_Review,Undergraduate,Native,1225,17.76,11,0.66,0.19,12.73,,35.0,56.48,5.64,27.0,0.08,2.42,Helvetica,12,0.008979591836734694,0.02857142857142857,0.022040816326530613,0
Lab_Report,High_School,Native,1151,20.1,1,0.69,0.34,13.17,16.13,4.0,1200.0,,3.0,0.08,2.19,Times New Roman,17,0.0008688097306689834,0.0034752389226759338,0.0026064291920069507,1
Research_Paper,Postgraduate,Native,1401,19.09,7,0.63,0.2,11.17,,33.0,56.36,3.8,16.0,0.03,2.86,Arial,6,0.004996431120628123,0.023554603854389723,0.011420413990007138,0
Lab_Report,Postgraduate,Native,980,12.82,6,0.7,0.23,13.63,189.22,22.0,28.25,7.98,6.0,0.05,1.81,Calibri,19,0.006122448979591836,0.022448979591836733,0.006122448979591836,0
Literature_Review,Undergraduate,Non_Native,707,19.84,14,0.52,0.13,10.95,,21.0,57.08,1.44,29.0,0.07,2.57,Calibri,12,0.019801980198019802,0.0297029702970297,0.04101838755304102,0
Research_Paper,Undergraduate,Native,1505,18.65,6,0.56,0.0,9.48,246.88,25.0,39.26,4.13,16.0,0.03,2.02,Arial,17,0.003986710963455149,0.016611295681063124,0.0106312292358804,0
Literature_Review,Undergraduate,Native,1605,16.09,8,0.67,0.13,9.03,211.91,23.0,39.36,2.87,29.0,0.06,2.62,Arial,15,0.004984423676012461,0.014330218068535825,0.01806853582554517,0
Essay,Undergraduate,Native,1481,13.5,6,0.52,0.09,13.62,219.97,,19.33,10.07,4.0,0.08,2.09,Calibri,20,0.004051316677920324,,0.0027008777852802163,0
Essay,Postgraduate,Non_Native,639,22.25,9,0.62,0.2,11.87,190.75,26.0,52.49,13.72,,0.03,1.54,Times New Roman,5,0.014084507042253521,0.0406885758998435,,0
Essay,High_School,Native,1170,22.83,8,0.55,0.11,12.97,,21.0,15.36,9.24,6.0,0.01,2.26,Helvetica,6,0.006837606837606838,0.017948717948717947,0.005128205128205128,0
Essay,High_School,Non_Native,706,18.95,13,0.49,0.05,12.49,243.94,19.0,32.97,0.57,3.0,0.07,1.3,Calibri,16,0.018413597733711047,0.026912181303116147,0.00424929178470255,0
Essay,High_School,Non_Native,1531,20.13,9,0.7,0.11,7.33,217.09,30.0,49.89,3.93,2.0,0.02,2.27,Calibri,2,0.005878510777269758,0.019595035924232528,0.0013063357282821686,0
Research_Paper,Postgraduate,Native,1691,14.63,13,0.68,0.26,10.81,240.38,21.0,55.05,2.64,19.0,0.05,1.0,Arial,13,0.00768775872264932,0.012418687167356593,0.011235955056179775,0
Lab_Report,Postgraduate,Native,830,13.02,8,0.5,0.12,12.29,147.36,24.0,62.76,,,0.03,2.59,Arial,17,0.00963855421686747,0.02891566265060241,,0
Essay,Undergraduate,Native,890,11.14,5,0.65,0.13,8.53,178.35,,37.97,0.11,2.0,0.04,2.49,Times New Roman,14,0.0056179775280898875,,0.0022471910112359553,0
Essay,Undergraduate,Native,1345,10.07,3,0.64,0.17,11.35,120.31,,48.34,11.63,5.0,0.05,1.66,Calibri,0,0.0022304832713754648,,0.0037174721189591076,0
Research_Paper,High_School,Non_Native,581,13.25,14,0.65,0.24,15.76,194.12,,60.59,10.51,19.0,0.04,2.49,Arial,11,0.024096385542168676,,0.03270223752151463,0
Research_Paper,Undergraduate,Native,955,8.96,7,0.55,0.19,9.39,240.45,20.0,53.8,4.78,19.0,0.06,2.16,Calibri,19,0.007329842931937173,0.020942408376963352,0.019895287958115182,0
Research_Paper,Postgraduate,Native,1059,9.88,7,0.72,0.24,11.96,142.43,27.0,39.97,0.66,20.0,0.04,2.3,Times New Roman,7,0.0066100094428706326,0.025495750708215296,0.018885741265344664,0
Essay,Undergraduate,Non_Native,1275,19.99,8,0.64,0.08,10.89,233.81,28.0,66.88,2.69,7.0,0.02,2.02,Arial,3,0.006274509803921568,0.02196078431372549,0.005490196078431373,0
Literature_Review,Undergraduate,Non_Native,1315,21.8,9,0.61,0.19,9.68,84.07,23.0,48.26,0.9,27.0,0.02,2.6,Calibri,4,0.006844106463878327,0.01749049429657795,0.02053231939163498,0
Essay,High_School,Native,1536,21.01,3,0.81,0.33,13.92,2.5,2.0,1200.0,0.73,2.0,0.07,2.49,Calibri,10,0.001953125,0.0013020833333333333,0.0013020833333333333,1
Lab_Report,Undergraduate,Native,890,9.44,7,0.67,0.14,13.05,194.41,,29.98,11.16,2.0,0.06,1.52,Times New Roman,5,0.007865168539325843,,0.0022471910112359553,0
Essay,Undergraduate,Native,1405,9.82,8,0.65,0.04,11.29,151.59,30.0,25.07,8.66,2.0,0.04,2.97,Calibri,14,0.0056939501779359435,0.021352313167259787,0.0014234875444839859,0
Research_Paper,Undergraduate,Native,942,7.23,13,0.59,0.15,9.04,180.61,31.0,52.28,3.29,18.0,0.02,1.0,Arial,23,0.013800424628450107,0.032908704883227176,0.01910828025477707,0
Essay,Undergraduate,Native,1379,22.38,0,0.69,0.38,12.89,9.81,1.0,1200.0,6.33,2.0,0.09,2.61,Arial,13,0.0,0.0007251631617113851,0.0014503263234227702,1
Lab_Report,Postgraduate,Native,1402,19.54,8,0.61,0.08,15.22,211.16,22.0,43.61,6.78,4.0,0.05,1.94,Times New Roman,0,0.005706134094151213,0.015691868758915834,0.0028530670470756064,0
Essay,Undergraduate,Non_Native,1529,16.3,8,0.63,0.26,10.89,229.37,33.0,65.37,6.28,2.0,0.07,2.83,Arial,9,0.005232177894048398,0.02158273381294964,0.0013080444735120995,0
Essay,High_School,Non_Native,357,21.3,1,0.72,0.4,14.92,5.01,1.0,1200.0,1.17,0.0,0.08,2.39,Helvetica,14,0.0028011204481792717,0.0028011204481792717,0.0,1
Essay,Undergraduate,Native,1327,20.25,1,0.75,0.41,13.99,20.47,3.0,1200.0,0.71,,0.09,2.18,Times New Roman,10,0.0007535795026375283,0.002260738507912585,,1
Lab_Report,Postgraduate,Native,1539,19.18,7,0.66,0.06,14.4,40.06,24.0,,1.6,1.0,0.06,3.02,Helvetica,11,0.004548408057179987,0.015594541910331383,0.000649772579597141,0
Lab_Report,Postgraduate,Native,1131,21.81,9,0.51,0.19,16.85,188.91,26.0,18.87,,3.0,0.03,1.52,Helvetica,0,0.007957559681697613,0.022988505747126436,0.002652519893899204,0
Research_Paper,Undergraduate,Native,775,23.26,3,0.75,0.26,14.37,10.52,,1200.0,1.43,7.0,0.08,2.53,Arial,21,0.003870967741935484,,0.00903225806451613,1
Essay,High_School,Native,1163,23.85,6,0.6,0.31,8.83,103.52,27.0,52.18,,8.0,0.08,1.0,Times New Roman,21,0.005159071367153913,0.023215821152192607,0.006878761822871883,0
Essay,Undergraduate,Native,1660,11.82,4,0.38,0.14,6.95,242.94,22.0,65.33,11.26,4.0,0.05,1.77,Arial,23,0.0024096385542168677,0.01325301204819277,0.0024096385542168677,0
Literature_Review,Undergraduate,Native,679,16.0,6,0.84,0.34,12.9,,21.0,54.78,1.7,28.0,0.04,2.29,Helvetica,11,0.008836524300441826,0.030927835051546393,0.041237113402061855,0
Essay,Undergraduate,Non_Native,968,15.43,10,0.52,0.19,6.74,289.68,22.0,38.86,7.83,3.0,0.09,2.63,Helvetica,19,0.010330578512396695,0.022727272727272728,0.0030991735537190084,0
Research_Paper,High_School,Non_Native,797,22.21,0,0.74,0.31,15.71,3.87,0.0,1200.0,1.48,6.0,0.09,2.58,Helvetica,18,0.0,0.0,0.0075282308657465494,1
Lab_Report,High_School,Native,1100,13.7,6,0.82,0.12,12.51,245.59,27.0,66.39,8.4,,0.02,2.15,Arial,14,0.005454545454545455,0.024545454545454544,,0
Essay,Undergraduate,Native,611,26.84,9,0.55,0.07,9.31,163.05,29.0,22.72,0.51,5.0,0.05,1.0,Arial,12,0.014729950900163666,0.04746317512274959,0.008183306055646482,0
Literature_Review,Postgraduate,Native,1292,12.13,8,0.58,0.1,11.6,168.28,30.0,41.35,0.22,33.0,0.04,1.44,Helvetica,11,0.006191950464396285,0.02321981424148607,0.025541795665634675,0
Literature_Review,Postgraduate,Native,768,23.99,7,0.65,0.2,13.16,132.26,34.0,45.09,9.21,30.0,0.09,1.13,Calibri,8,0.009114583333333334,0.044270833333333336,0.0390625,0
Essay,Postgraduate,Native,987,17.21,15,0.67,0.1,14.19,39.58,,52.68,10.94,2.0,0.07,2.22,Helvetica,19,0.015197568389057751,,0.002026342451874367,0
Essay,High_School,Non_Native,1486,18.97,11,0.69,0.36,17.56,203.34,23.0,76.26,1.9,2.0,0.04,1.54,Times New Roman,5,0.007402422611036339,0.01547779273216689,0.0013458950201884253,0
Lab_Report,Postgraduate,Native,813,23.91,2,0.72,0.41,13.97,,1.0,1200.0,0.23,2.0,0.08,2.34,Arial,22,0.0024600246002460025,0.0012300123001230013,0.0024600246002460025,1
Lab_Report,Postgraduate,Native,1290,6.07,8,0.42,0.12,8.09,143.93,22.0,14.98,16.17,,0.06,1.54,Times New Roman,7,0.006201550387596899,0.017054263565891473,,0
Research_Paper,Undergraduate,Native,2004,17.13,2,0.7,0.11,8.74,127.76,28.0,40.68,5.37,17.0,0.05,1.54,Arial,23,0.000998003992015968,0.013972055888223553,0.008483033932135729,0
Essay,Undergraduate,Non_Native,1164,14.46,11,0.56,0.17,9.12,217.96,19.0,74.05,5.51,,0.02,2.92,Calibri,5,0.009450171821305841,0.01632302405498282,,0
Literature_Review,Undergraduate,Native,1192,19.91,0,0.75,0.24,14.27,,1.0,1200.0,0.73,14.0,0.06,2.34,Arial,18,0.0,0.0008389261744966443,0.01174496644295302,1
Essay,Undergraduate,Non_Native,1366,21.46,7,0.52,0.26,12.97,166.02,27.0,30.81,17.65,3.0,0.02,1.66,Helvetica,11,0.005124450951683748,0.019765739385065886,0.0021961932650073207,0
Research_Paper,High_School,Native,582,11.91,8,0.5,0.13,9.38,323.2,,11.23,7.34,17.0,0.07,1.0,Times New Roman,3,0.013745704467353952,,0.029209621993127148,0
Research_Paper,Postgraduate,Native,1679,10.11,15,0.54,0.12,14.12,116.41,27.0,62.95,4.59,19.0,0.08,1.44,Calibri,8,0.008933889219773675,0.016081000595592615,0.011316259678379988,0
Essay,Undergraduate,Native,1030,18.31,7,0.54,0.25,8.88,183.09,18.0,32.11,,4.0,0.05,1.0,Helvetica,5,0.006796116504854369,0.017475728155339806,0.003883495145631068,0
Research_Paper,Postgraduate,Native,1655,16.83,9,0.51,0.16,8.24,,19.0,49.97,18.48,18.0,0.02,1.86,Times New Roman,4,0.005438066465256798,0.011480362537764351,0.010876132930513595,0
Research_Paper,Undergraduate,Native,1201,17.3,6,0.59,0.3,9.63,291.1,26.0,,31.72,18.0,0.08,2.33,Arial,14,0.004995836802664446,0.02164862614487927,0.01498751040799334,0
Lab_Report,Undergraduate,Native,1369,23.73,3,0.78,0.34,13.05,7.91,0.0,1200.0,0.9,,0.08,2.58,Calibri,2,0.002191380569758948,0.0,,1
